make,model,year,cylinder number,displacement,fuel type,consumption
Acura,NSX,2000,6,3.0,Premium,13.06
Acura,NSX,2000,6,3.2,Premium,13.06
BMW,M Coupe,2000,6,3.2,Premium,12.38
BMW,Z3 Coupe,2000,6,2.8,Premium,12.38
BMW,Z3 Coupe,2000,6,2.8,Premium,12.38
BMW,Z3 Roadster,2000,6,2.5,Premium,12.38
BMW,Z3 Roadster,2000,6,2.5,Premium,11.76
BMW,Z3 Roadster,2000,6,2.8,Premium,12.38
BMW,Z3 Roadster,2000,6,2.8,Premium,12.38
BMW,Z8,2000,8,4.9,Premium,15.68
Chevrolet,Corvette,2000,8,5.7,Premium,13.06
Chevrolet,Corvette,2000,8,5.7,Premium,12.38
Dodge,Viper Convertible,2000,10,8.0,Premium,16.8
Dodge,Viper Coupe,2000,10,8.0,Premium,16.8
Ferrari,360 Modena/Spider,2000,8,3.6,Premium,21.38
Ferrari,360 Modena/Spider,2000,8,3.6,Premium,21.38
Ferrari,550 Maranello,2000,12,5.5,Premium,26.13
Honda,Insight,2000,3,1.0,Regular,4.44
Honda,S2000,2000,4,2.0,Premium,11.76
Lotus,Esprit V8,2000,8,3.5,Premium,14.7
Mazda,MX-5 Miata,2000,4,1.8,Regular,10.69
Mazda,MX-5 Miata,2000,4,1.8,Regular,9.8
Mazda,MX-5 Miata,2000,4,1.8,Regular,10.22
Mercedes-Benz,SL500,2000,8,5.0,Premium,13.83
Mercedes-Benz,SL600,2000,12,6.0,Premium,16.8
Mercedes-Benz,SLK230 Kompressor,2000,4,2.3,Premium,10.69
Mercedes-Benz,SLK230 Kompressor,2000,4,2.3,Premium,10.69
Plymouth,Prowler,2000,6,3.5,Premium,13.06
Porsche,Boxster,2000,6,2.7,Premium,13.06
Porsche,Boxster,2000,6,2.7,Premium,11.76
Porsche,Boxster S,2000,6,3.2,Premium,13.83
Porsche,Boxster S,2000,6,3.2,Premium,13.06
Toyota,MR2,2000,4,1.8,Regular,9.8
Aston Martin,DB-7 Vantage Coupe,2000,12,5.9,Premium,19.6
Aston Martin,DB-7 Vantage Coupe,2000,12,5.9,Premium,19.6
Aston Martin,DB-7 Vantage Volante,2000,12,5.9,Premium,19.6
Aston Martin,DB-7 Vantage Volante,2000,12,5.9,Premium,19.6
Audi,TT Coupe,2000,4,1.8,Premium,10.22
