year,AM General,Acura,Alfa Romeo,American Motors Corporation,Audi,BMW,Bertone,Bill Dovell Motor Car Company,Buick,Cadillac,Chevrolet,Chrysler,Daewoo,Dodge,Fiat,Fisker,Ford,GMC,Genesis,Honda,Hyundai,Import Foreign Auto Sales Inc,Import Trade Services,Infiniti,Isuzu,J.K. Motors,Jaguar,Jeep,Karma,Kia,Land Rover,Lexus,Lincoln,Lotus,MINI,Mazda,Mercedes-Benz,Mercury,Mitsubishi,Nissan,Oldsmobile,Peugeot,Pininfarina,Plymouth,Polestar,Pontiac,Porsche,Quantum Technologies,Ram,Renault,STI,Saab,Saturn,Scion,Subaru,Suzuki,Toyota,Volkswagen,Volvo,Wallace Environmental,Yugo
1984,13.83,,11.2,11.945,10.5,10.010000000000002,10.69,13.06,10.182500000000001,10.305,10.3978125,11.532250000000001,,10.919298245614035,,,10.782575757575756,11.293181818181816,,8.571666666666667,,12.38,,,11.256666666666668,,,11.637999999999998,,,,,,16.8,,9.909444444444444,11.48,10.538333333333334,11.468070175438596,10.287878787878787,9.815714285714288,13.105,11.535,10.155769230769234,,9.982765957446812,12.6025,,,10.05217391304348,,12.27,,,10.357058823529412,10.69,10.190877192982454,10.798823529411765,12.164285714285715,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,12.087499999999999,,,,,,,,,,,,,,,,,,,13.141428571428571,,,,,,,,,,,11.79,,,,,,,,,,,,,,
1988,,,,,,,,,,,,12.38,,,,,11.2,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,11.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.826666666666666,,10.22
1991,,,,,,,,,,,,,,,,,,,,,,,14.700000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,10.22,,,,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.06,,,,,,,,,,,,,,,,,,12.38,
1993,,,,,,,,,,,,,,,,,,,,10.22,,,,10.69,,13.83,,,,9.255,,,,,,,,,,,11.76,,,,,,,,,,,11.2,,,10.232500000000002,,,10.86,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,,,,,11.76,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,9.41,,,,,,,,13.06,,,,,9.8,,,,,,,,9.41,10.010000000000002,,,,,,,,,,,,,,,,,,,,11.76,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.074545454545454,,,,,,,,,
1997,,,,,,10.040000000000001,,,,,,,,,,,,,,11.2,10.22,,,,,,,13.145,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,10.844285714285714,,,,,,,,,,,,,,,,10.22,,,,,,,,,,,,11.2,,,,11.61,,,,9.163333333333332,10.22,10.245000000000001,,,
2000,,9.940000000000001,,,10.915,,,,,,10.250384615384615,11.76,10.151,10.746666666666668,,,9.575714285714286,11.4175,,9.704444444444443,10.08,,,10.010000000000002,11.738333333333335,,,13.435999999999998,,11.965000000000002,,,,,,10.058181818181819,10.69,9.680000000000001,10.206999999999999,10.889,10.22,,,10.238333333333333,,10.167142857142858,,,,,,11.466666666666665,8.98857142857143,,11.13625,9.830454545454543,10.60060606060606,10.291363636363638,11.2,,
2001,,9.940000000000001,,,10.984545454545456,,,,,,10.36590909090909,11.420000000000002,10.286,10.799999999999999,,,9.91235294117647,11.535,,9.483529411764707,10.007500000000002,,,10.010000000000002,12.808333333333332,,,14.754999999999999,,11.86357142857143,,,,,,10.381333333333334,10.71,9.8,10.358333333333334,10.608888888888888,10.455,,,9.42,,10.367142857142857,,,,,,11.195,9.004666666666667,,10.909166666666666,9.962499999999997,9.98607142857143,10.329545454545455,10.22,,
2002,,9.546666666666667,,,11.034545454545455,,,,,,10.346363636363636,11.2325,10.286,10.951250000000002,,,9.77375,11.535,,9.218125,9.968333333333334,,,10.010000000000002,12.808333333333332,,,14.265,,11.317,,,,,9.41,10.414166666666668,11.095,9.8,10.30625,10.575,9.605,,,,,9.93,,,,,,11.014285714285714,9.390666666666666,,11.28,10.035555555555554,9.93148148148148,10.18,10.69,,
2003,,9.416666666666666,,,10.932727272727274,,,,,,10.776666666666667,10.964545454545455,10.82,10.265555555555556,,,9.86,11.535,,8.929090909090908,9.892666666666665,,,,12.72,,,13.105,,9.975,,,,,9.073333333333332,10.346923076923076,10.641666666666666,,10.769473684210524,10.464,9.41,,,,,9.263333333333334,,,,,,10.887857142857143,10.079,,11.389444444444443,10.512142857142857,9.8315625,10.235384615384616,10.69,,
2004,,9.831999999999999,,,10.840000000000002,,,,,,10.931176470588236,11.067777777777776,9.782499999999999,10.278571428571428,,,9.820666666666664,12.495000000000001,,8.934545454545452,9.877692307692307,,,,,,,13.105,,9.788,,,,,9.073333333333334,10.238666666666665,10.461666666666666,,10.733571428571427,10.46888888888889,9.06,,,,,9.021250000000002,,,,,,11.167222222222222,9.976666666666667,8.0475,11.706086956521737,9.876999999999999,9.768666666666666,10.26,10.69,,
2005,,9.916,,,10.627058823529412,,,,,,10.732000000000001,11.11,,10.278571428571428,,,10.047692307692309,12.6175,,8.889999999999999,10.129999999999999,,,,,,,12.450000000000001,,10.16888888888889,,,,10.69,9.345,10.520624999999999,10.010000000000002,11.79,10.87470588235294,10.24125,,,,,,8.999999999999998,,,,,,11.16642857142857,10.338571428571429,8.85,11.447241379310345,10.01875,9.473448275862067,10.292068965517242,,,
